,number,position,term,ward,district,candidates,candidate_count
218,1,tax collector,,,HARRISON,['Michael D. McKechnie'],1
219,2,member of council,"2,4",,HARRISON,['none'],0
220,2,constable,,,HARRISON,['none'],0
221,1,mayor,,,HAYSVILLE,['none'],0
222,1,tax collector,,,HAYSVILLE,['none'],0
223,4,member of council,4,,HAYSVILLE,['none'],0
224,1,member of council,2,,HAYSVILLE,['none'],0
225,1,constable,,,HAYSVILLE,['none'],0
226,1,mayor,,,HEIDELBERG,['Kenneth A. Lasota'],1
227,1,tax collector,,,HEIDELBERG,['none'],0
228,3,member of council,,,HEIDELBERG,"['Sharon Wicobroad', 'Richard A. Pattinato', 'Dorothy McCartney', 'Charles L. Jones', 'Duda John']",5
229,1,constable,,,HEIDELBERG,['none'],0
230,1,mayor,,,HOMESTEAD,"['John M. Burwell', 'Betty Esper']",2
231,1,tax collector,,,HOMESTEAD,['Alice Paylor-Dais'],1
236,1,tax collector,,,INDIANA,['Julie Leventry'],1
237,1,auditor,6,,INDIANA,['none'],0
238,1,auditor,4,,INDIANA,['none'],0
239,1,auditor,2,,INDIANA,['none'],0
241,1,constable,,,INDIANA,['David C. Allison'],1
242,1,mayor,,,INGRAM,['Sharon Stetz'],1
243,1,tax collector,,,INGRAM,['none'],0
244,4,member of council,,,INGRAM,"['Greg Butler', 'Karen L. Dixon', 'Susan Radzanowski', 'Richard Nucci']",4
245,1,constable,,,INGRAM,['none'],0
246,1,mayor,,,JEFFERSON HILLS,"['Jan Cmar', 'Carrie Nuss-McCaffrey']",2
247,1,tax collector,,,JEFFERSON HILLS,"['William S. Theiss Jr.', 'Josephine Lipnicky']",2
248,4,member of council,,,JEFFERSON HILLS,"['Brian W. Militzer', 'Vickie L. Ielase', 'Peter D. Doel', 'John M. Wallace', 'Claire Metzinger Germello', 'David T. Montgomery', 'Christina Weir-Ripley', 'David T. Montgomery', 'Keith Polick', 'Hilary Kingsley-Budd', 'Lori Sekulich Bartrug', 'Melissa Lynne Girman Steffey']",12
249,1,constable,,,JEFFERSON HILLS,['Dale Withers'],1
250,1,tax collector,,,KENNEDY,['Melvin Weinstein'],1
251,3,commissioner,4,,KENNEDY,"['Donald Morrow', 'Susan Butya', 'Gary Vituccio', 'Diane Schmitt', 'Frederick Kauffmann']",5
252,1,commissioner,2,,KENNEDY,"['Donald Morrow', 'Susan Butya', 'Gary Vituccio', 'Diane Schmitt', 'Frederick Kauffmann']",5
253,2,constable,,,KENNEDY,"['John Buckley, III']",1
254,1,tax collector,,,KILBUCK,['none'],0
255,1,auditor,,,KILBUCK,['none'],0
256,1,supervisor,,,KILBUCK,['Thomas R. Tomaro'],1
257,1,constable,,,KILBUCK,['none'],0
258,1,tax collector,,,LEET,['Nicole Sigmund'],1
259,2,commissioner,,,LEET,"['Donna Adipietro', 'William Wanto, Jr.', 'Daniel M. Peluso', 'John Stephansky', 'Stephanie Turner', 'Jeff Besong', 'Rody Nash']",7
260,2,constable,,,LEET,['none'],0
261,1,mayor,,,LEETSDALE,"['Sandra Ford', 'Peter A. Poninsky']",2
262,1,tax collector,,,LEETSDALE,"['Carol Poninsky', 'Thomas Belcastro']",2
263,4,member of council,,,LEETSDALE,"['Thomas J. Michael', 'Patricia Lee', 'Beth Carroll', 'Elizabeth Surmacz', 'Benjimen J. Frederick', 'Osman K. Awad', 'Maria  Napolitano']",7
264,1,constable,,,LEETSDALE,"['Earnest E. K. Logan', 'Zach Turner']",2
265,1,mayor,,,LIBERTY,['S. Larry Sikorski'],1
266,1,tax collector,,,LIBERTY,['Shelly Aquilante'],1
267,4,member of council,,,LIBERTY,"['Luke Riley', 'Timothy W. Sloss', 'Michael Matlos', 'Elizabeth Lape']",4
268,1,constable,,,LIBERTY,"['Brandon Nolder', 'Brandon Nolder']",2
269,1,mayor,,,LINCOLN,['James Joseph Beisler'],1
270,1,tax collector,,,LINCOLN,['Sharon Lynn Jageman'],1
271,2,member of council,,,LINCOLN,"['Mark E. Betzner', 'Tommy W. Firda', 'Jeffrey Bertok']",3
272,1,constable,,,LINCOLN,['Jozef A. Turcan'],1
273,1,tax collector,,,MARSHALL,['Charles Carey'],1
274,1,auditor,,,MARSHALL,['Earl V. Bragunier'],1
275,2,supervisor,,,MARSHALL,"['Thomas J. Madigan', 'Robert Edwards']",2
276,1,constable,,,MARSHALL,['Earl V. Bragunier'],1
278,2,constable,,,MCCANDLESS,['Nathan Wolfe'],1
279,1,controller,,,MCKEESPORT,['Ryan Sturgess'],1
280,3,member of council,,,MCKEESPORT,"['Brian Evans', 'Jill Brewster-Lape', 'Jim Barry']",3
282,1,mayor,,,MCKEES ROCKS,"['David Flick', 'John R. Muhr', 'Jackie Page', 'Tristan David Yoder']",4
283,1,tax collector,,,MCKEES ROCKS,"['Maribeth L. Taylor', 'Tracey Pedersen']",2
284,1,controller,,,MCKEES ROCKS,['William C. Beck'],1
288,1,mayor,,,MILLVALE,['Brian Spoales'],1
289,1,tax collector,,,MILLVALE,['J. Scott Davis'],1
290,3,member of council,,,MILLVALE,"['James A. Machajewski, Jr.', 'Albert Atkinson', 'John W. Varley']",3
291,1,constable,,,MILLVALE,['Frank Albert'],1
292,1,mayor,,,MONROEVILLE,['Nicholas J. Gresock'],1
293,1,tax collector,,,MONROEVILLE,['Patrick J. Fulkerson'],1
296,1,tax collector,4,,MOON,"['John J. Wink', 'Shannon Treonze']",2
297,1,auditor,,,MOON,['Michael A. Dandrea'],1
298,1,supervisor,6,,MOON,"['John G. Williams', 'Anthony N. Coleman', 'Kathleen Madonna- Emmerling', 'David Bachman', 'Allan T. Bross']",5
299,1,supervisor,2,,MOON,"['John G. Williams', 'Anthony N. Coleman', 'Kathleen Madonna- Emmerling', 'David Bachman', 'Allan T. Bross']",5
300,1,constable,,,MOON,['Perry Miller'],1
301,1,treasurer,,,MOUNT LEBANON,['Joseph Senko'],1
