,number,position,term,ward,district,candidates,candidate_count,party
189,1,supervisor,,,FRAZER,['Willliam J. Creevey'],1,['Democratic']
190,1,constable,,,FRAZER,['none'],0,['N/A']
191,1,mayor,,,GLASSPORT,['none'],0,['N/A']
192,1,tax collector,,,GLASSPORT,['Jennifer Bell'],1,['Democratic']
193,3,member of council,,,GLASSPORT,"['Keith S. DiMarco', 'Elaina Skiba', 'Paul Trunzo', 'Anthony Colecchi']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
194,1,constable,,,GLASSPORT,['none'],0,['N/A']
195,1,mayor,,,GLEN OSBORNE,['Barbara M. Carrier'],1,['Democratic']
196,1,tax collector,,,GLEN OSBORNE,['none'],0,['N/A']
197,4,member of council,,,GLEN OSBORNE,"['John Orndorff', 'Mary Scalerico']",2,"['Democratic', 'Democratic']"
198,1,constable,,,GLEN OSBORNE,['none'],0,['N/A']
199,1,mayor,,,GLENFIELD,['none'],0,['N/A']
200,1,tax collector,,,GLENFIELD,['none'],0,['N/A']
201,1,auditor,6,,GLENFIELD,['none'],0,['N/A']
202,1,auditor,4,,GLENFIELD,['none'],0,['N/A']
203,1,auditor,2,,GLENFIELD,['none'],0,['N/A']
204,4,member of council,,,GLENFIELD,['none'],0,['N/A']
205,1,constable,,,GLENFIELD,['none'],0,['N/A']
206,1,mayor,,,GREEN TREE,['Edward A. Scheneck'],1,['Democratic']
207,4,member of council,,,GREEN TREE,"['James J. Turocy', 'Craig A. Romanovich', 'Shannon Barron', ""Lindsey Dawn O'Donnell"", 'Jessica Swiech', 'David L. Rea', 'David Lorenzini', 'Katrina Ann Harmel']",8,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican']"
208,1,constable,,,GREEN TREE,['none'],0,['N/A']
